head_id,tail_id,longitude,latitude,altitude
152432997,1191806314,-95.384777,29.790872,1104.3
152432997,152432999,-95.384283,29.791209,1159.4
152432999,152433002,-95.384288,29.791548,1110.1
152432999,152443831,-95.383483,29.791506,999.2
152433002,152443834,-95.385166,29.791582,936.9
152433002,152433006,-95.38429,29.791889,1005.9
152433006,152909832,-95.38349,29.792198,956.3
152437059,153143270,-95.380548,29.794382,932.0
152437059,153143263,-95.379748,29.794393,919.0
152443826,152909821,-95.379385,29.79191,941.7
152443826,153353206,-95.379376,29.791066,917.5
152443826,152909799,-95.379082,29.791834,912.5
152443827,152909828,-95.380973,29.791882,868.8
152443827,153233144,-95.380963,29.791044,855.3
152443827,152443829,-95.381371,29.791524,858.1
152443829,152443831,-95.382226,29.791513,891.4
152443829,153444946,-95.381768,29.791033,932.1
152443831,152909832,-95.382681,29.791859,939.5
152443834,152909837,-95.386058,29.791914,847.5
152443834,152559392,-95.386034,29.791216,817.5
152454095,152454097,-95.381011,29.799498,1054.8
152454095,152656703,-95.380855,29.798674,943.9
152541371,5387962358,-95.377179,29.793939,1078.7
152541371,152721578,-95.377107,29.7935,1026.7
152541618,152943327,-95.385498,29.799847,911.9
152541735,152628890,-95.377968,29.794758,1067.8
152541735,152541736,-95.378313,29.794753,1022.0
152541736,152541738,-95.378723,29.79505,1009.5
152541736,152628890,-95.378312,29.79501,1053.7
152541738,153143260,-95.378794,29.794749,962.7
152541741,152656696,-95.3807,29.796821,869.0
152559392,1191806314,-95.385649,29.790845,927.0
152600226,152721580,-95.378774,29.793041,922.5
152600226,152909812,-95.378778,29.792632,930.8
152600226,152600229,-95.379092,29.792983,924.6
152600229,153312143,-95.379409,29.793331,908.4
152600229,152600233,-95.3802,29.792965,917.1
152600229,152909821,-95.379399,29.792618,935.0
152600233,152909828,-95.380986,29.792594,917.4
152600233,152600236,-95.381843,29.792939,989.2
152600233,153233147,-95.380994,29.793309,948.2
152600236,2889941805,-95.383513,29.792915,955.9
152600236,152909832,-95.382692,29.792568,1030.2
152600236,153312147,-95.382703,29.793284,1060.5
152600240,153143284,-95.385123,29.793645,950.6
152600240,152600247,-95.385602,29.792949,940.5
152600247,153143291,-95.386101,29.79363,985.9
152600247,152909837,-95.386082,29.792599,985.5
152628888,153194019,-95.37714,29.795581,931.4
152628888,5387962359,-95.377128,29.794548,1041.0
152628888,152628890,-95.377548,29.79502,1046.6
152628890,152659849,-95.377976,29.795571,999.0
152656696,6259947808,-95.380327,29.797111,871.5
152656696,152656703,-95.380705,29.797653,881.5
152656703,152659853,-95.379365,29.798127,1050.3
152659814,153204564,-95.377358,29.790593,1021.2
152659814,152659843,-95.377819,29.79136,983.5
152659843,152659845,-95.377929,29.792612,987.3
152659843,152909799,-95.378354,29.792117,902.2
152659843,152909796,-95.377507,29.792135,985.7
152659845,152721578,-95.377513,29.793099,1020.2
152659845,152721580,-95.378353,29.793095,989.1
152659849,152659851,-95.37799,29.796608,924.8
152659849,153194019,-95.377567,29.796132,887.4
152659851,152659853,-95.378006,29.797574,1076.5
152659851,152751816,-95.377581,29.797093,898.4
152659853,152659857,-95.378022,29.798538,1133.3
152659853,153016782,-95.377596,29.798066,1184.6
152659857,153204588,-95.377612,29.799019,1047.2
152677092,152677095,-95.385654,29.797086,967.2
152677092,153099498,-95.386163,29.79777,1065.1
152677095,153099505,-95.385177,29.797782,992.5
152677096,152677099,-95.383139,29.797146,980.9
152692258,152692266,-95.377148,29.791178,1033.7
152692258,152909796,-95.37706,29.791661,1051.1
152692258,153204564,-95.377019,29.790886,1010.1
152721578,152909796,-95.377091,29.792622,1018.5
152721580,153222786,-95.378781,29.793393,880.8
152751816,153194019,-95.377158,29.796617,861.8
152751816,153016782,-95.37717,29.797584,994.4
152909799,152909812,-95.378782,29.79219,912.1
152909812,152909821,-95.379085,29.792266,941.3
152909821,152909828,-95.380184,29.792247,935.2
152909828,152909832,-95.381834,29.792222,956.3
153016782,153204588,-95.377186,29.798546,1095.8
153099498,153099505,-95.385686,29.798466,1092.0
153143260,153143263,-95.37911,29.794401,921.3
153143263,153312143,-95.379413,29.794042,912.4
153143270,153233148,-95.38102,29.794728,912.8
153143270,153233147,-95.381008,29.79402,966.8
153143270,153143274,-95.381868,29.794362,977.9
153143274,153456725,-95.382725,29.794702,981.1
153143274,153312147,-95.382714,29.793995,1029.1
153143284,153143291,-95.385622,29.794326,996.4
153143291,153341528,-95.386108,29.794663,871.9
153222786,153312143,-95.379097,29.793689,873.2
153233124,153233144,-95.380888,29.790559,889.3
153233134,153456737,-95.381876,29.795068,942.4
